Barcode,Description ,Price,Remarks,
8906079722916,Shreeji Dairy - Shrikhand Elaichi 500g,$4.99,,
8906079722893,Shreeji Dairy - Shrikhand Kesar Dryfruit 500g,$4.99,,
840033813693,NIB - 4pc Matki Diya,$4.99,Taxable,
817602025733,NIB - Set of 4 Assorted Diyas,$4.99,Taxable,
840033813242,"NIB - 4"" Plain Diyas 2pcs",$1.99,Taxable,
840033813624,NIB - 4pcs T Light Matki Diyas,$4.99,Taxable,
817602017790,NIB - 12pcs Small Diyas W/o Wax,$6.99,Taxable,
817602017417,NIB - Akhand Diya,$5.99,Taxable,
200193922848,NIB - Plain Diya 6pcs,$2.99,Taxable,
840033813600,NIB - 6pc Color Diyas With Wax,$5.99,Taxable,
840033813631,NIB - Saptarshi Diyas 2pcs,$3.99,Taxable,
8901738960081,Shanti - Rangoli Powder 8pcsx100g,$8.99,Taxable,
840033813587,NIB - 6pcs Wax Diya,$5.99,Taxable,
200193922862,Karwa Fancy,$8.99,Taxable,
840965003483,MTR - Badam Drink Cardamom 6x180ml,$5.99,,
840965002721,MTR Badam Drink Regular 6pk,$5.99,,
8908000008243,Leo - Coffee Chicory Blend 500g,$6.99,,
8908000008465,Leo - Degree Blend 500g,$6.99,,
8901738850467,Shastha Appalam #4 180g,$2.99,,
8904304714651,Shastha Rice Appalam 300g,$4.49,,
8904304714606,Shastha Tomato Appalam 200g,$3.49,,
8904041500111,K Pra- Chilli Pickle Masala 100g,$2.99,,
8904041500913,K Pra - Lemon Pickle 200g,$2.49,,
8904041500562,K Pra - Pakoda Mix 500g,$2.99,,
8904041500104,K Pra - Raw Mango Pickle Masala 100g,$2.99,,
8904041500098,K Pra - Lemon Pickle Masala 100g,$2.99,,
8904041502559,K Pra - Kachchi Dabeli Masala 200g,$4.99,,
8904041502405,K Pra - Lemon Pickle Sweet 300g,$3.49,,
890173885616,Shastha Foods - Pooja Oil 500ml,$5.99,Tax,
8904041500081,K Pra - Garam Masala 100g,$3.49,,
8904041500340,K Pra - Sesame Chutney 100g,$3.49,,
8904041500418,K Pra - Shingada Flour 200g,$3.99,,
8904041501026,K Pra - Ragi Sattva 200g,$2.99,,
8904041500333,K Pra - Niger Seeds Chutney 100g,$1.99,,
8904304715269,Shastha Foods - Pooja Oil 1 Liter,$9.49,Tax,
890173885609,Shastha Foods - Pooja Oil 200 mL,$3.99,Tax,
8904304388975,Kotta pakku,$2.99,Tax,
8906002778058,Cothas Coffee - Pure Filter Coffee Powder 500g,$7.99,,
8908000008113,Leo - Madras Blend 500g,$6.99,,
